iter	Logloss
0	0.6918182657
1	0.6904812209
2	0.6899421958
3	0.6891912495
4	0.6879550553
5	0.6865868228
6	0.6858386718
7	0.6845091427
8	0.6832292359
9	0.6819022993
10	0.6804171883
11	0.6790256523
12	0.6776138101
13	0.6768324941
14	0.6754749171
15	0.6742683849
16	0.6730390728
17	0.6722881718
18	0.6713251324
19	0.6705187665
20	0.6693329731
21	0.668070025
22	0.6673359641
23	0.6660789719
24	0.6654424132
25	0.6642194741
26	0.6630997522
27	0.6619505746
28	0.6606808631
29	0.6594771039
30	0.6581997743
31	0.656833709
32	0.6555815999
33	0.6543575226
34	0.6536735445
35	0.6523142212
36	0.651053261
37	0.6497800709
38	0.6493885335
39	0.6481874555
40	0.6470184213
41	0.6458491315
42	0.6446779239
43	0.6438714188
44	0.6433177524
45	0.6426202535
46	0.6414117662
47	0.6409848101
48	0.640411025
49	0.639873024
50	0.6387389077
51	0.6375450671
52	0.6364060189
53	0.635234065
54	0.6343107716
55	0.6330121853
56	0.6318281699
57	0.6304935351
58	0.6293625631
59	0.6280835192
60	0.6272053534
61	0.6264941654
62	0.6259837673
63	0.6248086455
64	0.6237207455
65	0.6226853537
66	0.6220905037
67	0.6210763025
68	0.6199584575
69	0.6195428476
70	0.6191728768
71	0.6181127605
72	0.617606248
73	0.6163936157
74	0.6152788244
75	0.6142513701
76	0.6133476681
77	0.6120697299
78	0.6116513439
79	0.6109029357
80	0.609972305
81	0.6091568275
82	0.6079449437
83	0.607404774
84	0.6068419268
85	0.6062333415
86	0.6050852142
87	0.604053665
88	0.6030549351
89	0.6019424947
90	0.6010034785
91	0.5999994047
92	0.5994980303
93	0.5983827819
94	0.5973855623
95	0.5961786825
96	0.5955617101
97	0.594890917
98	0.5935895504
99	0.5924943453
100	0.5913644257
101	0.5905755213
102	0.5893628928
103	0.588686222
104	0.5876656372
105	0.5871444074
106	0.5867389651
107	0.5862418497
108	0.5857943615
109	0.5852359407
110	0.5841279099
111	0.5832918713
112	0.582231652
113	0.5813069155
114	0.5808843395
115	0.5798521843
116	0.5793906744
117	0.5789662618
118	0.5779073623
119	0.5770922698
120	0.575962217
121	0.5754200174
122	0.5744381415
123	0.5735984412
124	0.5725231863
125	0.5714389611
126	0.5709537427
127	0.5699407204
128	0.5689543665
129	0.5679533191
130	0.5669801047
131	0.5660315882
132	0.5650878906
133	0.5647617861
134	0.5639051754
135	0.5629811041
136	0.5626519766
137	0.5617662208
138	0.5607714755
139	0.5597731179
140	0.559103116
141	0.5581922642
142	0.5574309233
143	0.5564440187
144	0.5560055466
145	0.5550662102
146	0.5540709943
147	0.5531165819
148	0.5522336563
149	0.5514790261
150	0.5506614117
151	0.5498777966
152	0.5491325709
153	0.5483980432
154	0.5475439408
155	0.5471916849
156	0.5467534845
157	0.5458613124
158	0.5450304536
159	0.5446603517
160	0.5437191984
161	0.5431167879
162	0.542848083
163	0.5419727325
164	0.5415476815
165	0.5411372772
166	0.5402516065
167	0.5396065597
168	0.5390867421
169	0.5382404772
170	0.5373502399
171	0.5365320211
172	0.5357635548
173	0.534910319
174	0.5340789538
175	0.5334795675
176	0.5327143156
177	0.5322200015
178	0.5317529178
179	0.5312635897
180	0.53042185
181	0.5296606541
182	0.5293137339
183	0.5285642264
184	0.5277320602
185	0.5267605013
186	0.5264427721
187	0.5256216542
188	0.5248642682
189	0.5240083969
190	0.5231795756
191	0.5224520263
192	0.5217327475
193	0.5214432956
194	0.5205830731
195	0.5201869337
196	0.5194878802
197	0.5186191897
198	0.5180358377
199	0.5175416178
