iter	Passed	Remaining
0	0	165
1	1	148
2	2	148
3	3	152
4	3	146
5	4	142
6	5	142
7	5	143
8	6	142
9	7	140
10	8	139
11	8	138
12	9	140
13	10	140
14	11	138
15	11	137
16	12	135
17	13	133
18	13	132
19	14	130
20	15	131
21	16	130
22	16	129
23	17	128
24	18	126
25	18	126
26	19	125
27	20	125
28	21	125
29	22	126
30	22	125
31	23	124
32	24	123
33	25	122
34	25	121
35	26	120
36	27	119
37	28	119
38	28	119
39	29	118
40	30	117
41	31	117
42	31	116
43	32	115
44	33	114
45	33	113
46	34	112
47	35	111
48	36	111
49	36	110
50	37	110
51	38	110
52	39	108
53	40	108
54	40	107
55	41	106
56	42	105
57	42	104
58	43	103
59	44	102
60	44	101
61	45	100
62	45	99
63	46	99
64	47	98
65	48	97
66	48	96
67	49	95
68	50	95
69	51	95
70	52	95
71	53	94
72	53	93
73	54	93
74	55	92
75	55	91
76	56	90
77	57	90
78	58	89
79	58	88
80	59	87
81	60	86
82	61	86
83	61	85
84	62	84
85	63	83
86	63	82
87	64	82
88	65	81
89	65	80
90	66	79
91	67	79
92	68	78
93	68	77
94	69	76
95	70	75
96	70	75
97	71	74
98	71	73
99	72	72
100	73	71
101	74	71
102	74	70
103	75	69
104	76	69
105	77	68
106	77	67
107	78	66
108	79	66
109	79	65
110	81	64
111	81	64
112	83	64
113	84	63
114	84	62
115	85	61
116	86	61
117	87	60
118	88	59
119	88	59
120	89	58
121	89	57
122	90	56
123	91	55
124	91	55
125	92	54
126	93	53
127	94	53
128	94	52
129	96	51
130	97	51
131	97	50
132	98	49
133	99	48
134	100	48
135	100	47
136	101	46
137	102	45
138	102	45
139	103	44
140	104	43
141	105	42
142	105	42
143	106	41
144	107	40
145	108	39
146	109	39
147	109	38
148	110	37
149	111	37
150	112	36
151	112	35
152	113	34
153	114	34
154	114	33
155	115	32
156	116	31
157	117	31
158	117	30
159	118	29
160	119	28
161	119	28
162	120	27
163	121	26
164	121	25
165	122	25
166	123	24
167	123	23
168	124	22
169	125	22
170	126	21
171	127	20
172	128	19
173	128	19
174	129	18
175	130	17
176	130	16
177	131	16
178	132	15
179	132	14
180	133	14
181	134	13
182	135	12
183	135	11
184	136	11
185	137	10
186	137	9
187	138	8
188	139	8
189	140	7
190	141	6
191	141	5
192	142	5
193	143	4
194	144	3
195	145	2
196	145	2
197	146	1
198	147	0
199	147	0
